Sr No,Ex id,Stock Name,Ticker,Time-frame,Minimum candle history,At,atHour,End date,endHour,Level,Remarks,Entry,Target,Stop-loss,RR ratio,Type of trader,Classification,
15,1,Bajaj Finance,BAJFINANCE,60-minute,9/9/19,9/16/19,14:00,9/19/19,15:00,2,"{""X"":""3443.80""}",3436.2,3348.5,3465.4,3.003424658,BTST,Assisted,
16,1,Bajaj Finance,BAJFINANCE,60-minute,9/9/19,9/18/19,11:00,9/23/19,11:00,4,"{""X"":""3457.20""}",3582.35,3978.75,3450.4,3.004168246,Swing trader,Event ,
23,1,Berger Paint,BERGEPAINT,60-minute,9/9/19,9/18/19,10:00,9/23/19,9:00,1,"{""X"":""362.30""}",369.3,410.35,359.35,4.125628141,BTST,Assisted,
24,1,Britannia,BRITANNIA,60-minute,9/17/19,9/18/19,11:00,9/23/19,9:00,1,"{""X"":""2615.50""}",2700.35,3121.2,2580.85,3.521757322,BTST,Event,
25,1,Cadila Healthcare,CADILAHC,60-minute,9/5/19,9/18/19,10:00,9/23/19,11:00,1,"{""X"":""236""}",240.95,253.3,234.85,2.024590164,BTST,Event,
5,1,Adani Enterprises,ADANIENT,60-minute,9/20/19,9/24/19,15:00,10/4/19,15:00,2,"{""X"":""154.10""}",152.95,139,155.65,5.166666667,Swing trader,Event,
9,1,Adani Ports,ADANIPORTS,60-minute,9/23/19,9/25/19,9:00,10/4/19,12:00,2,"{""X"":""419.55""}",415.1,397.5,420.9,3.034482759,Swing trader,Event,
22,1,Berger Paint,BERGEPAINT,60-minute,9/24/19,10/5/19,10:00,10/10/19,15:00,1,"{""X"":""422.35""}",428.7,473.85,418.65,4.492537313,Swing trader,Event,
8,1,Adani Ports,ADANIPORTS,60-minute,10/4/19,10/7/19,10:00,10/22/19,9:00,1,"{""X"":""391.05""}",395.8,425.35,387.8,3.69375,Swing trader,Event,
21,1,Bank Nifty,NIFTYBANK,60-minute,10/4/19,10/7/19,11:00,11/4/19,9:00,3,"{""X"":""27576.80-27912.60""}",28247.25,30423.55,27529.55,3.032325484,Swing trader,Event,
6,1,Adani Enterprises,ADANIENT,60-minute,10/7/19,10/9/19,13:00,10/14/19,12:00,3,"{""X"":""134.05-135""}",136.05,149.55,133.35,5,BTST,Event,
17,1,Bajaj Finance,BAJFINANCE,60-minute,10/17/19,10/13/19,13:00,10/25/19,13:00,4,"{""X"":""4244.30-4281.20""}",4111.05,3915.65,4206.05,2.056842105,Swing trader,Event,
7,1,Adani Enterprises,ADANIENT,60-minute,9/20/19,10/20/19,13:00,10/18/19,9:00,6,"{""X"":""154.10""}",155.7,174.75,151.1,4.141304348,Swing trader,Assisted,
2,1,ACC,ACC,60-minute,10/2/19,10/20/19,9:00,10/25/19,13:00,4,"{""X"":""1545.15-1560""}",1542.1,1502.5,1561.9,2,Swing trader,Event,
19,1,Bank Nifty,NIFTYBANK,60-minute,10/22/19,10/27/19,12:00,11/8/19,13:00,6,"{""X"":""29677.05""}",29855.2,31045.6,29523.95,3.593660377,Swing trader,Event,
11,1,Asian Paints,ASIANPAINT,Daily,10/18/19,11/6/19,9:00,11/22/19,15:00,2,"{""X"":""1823.80""}",1791.9,1677.75,1837.3,2.514317181,Swing trader,Event,
20,1,Bank Nifty,NIFTYBANK,60-minute,11/8/19,11/17/19,12:00,11/28/19,12:00,6,"{""X"":""31113""}",31219.7,32134.95,30950.15,3.395473938,Swing trader,Event,
3,1,ACC,ACC,60-minute,11/12/19,11/18/19,11:00,11/21/19,9:00,2,"{""X"":""1502.05""}",1497.85,1480.75,1504.35,2.630769231,BTST,Event,
10,1,Adani Trans,ADANITRANS,60-minute,11/7/19,11/27/19,13:00,12/11/19,9:00,8,"{""X"":""297.85-305.20""}",308.1,350.5,295.95,3.489711934,Swing trader,Assisted,
26,1,Yes Bank,YESBANK,60-minute,10/31/19,12/7/19,9:00,12/11/19,11:00,7,"{""X"":""56.65-59.25""}",56.35,43.6,60.6,3,Swing trader,Event,
1,1,ACC,ACC,Daily,10/4/19,12/10/19,9:00,1/27/20,15:00,1,"{""X"":""1417.40""}",1444.35,1570.9,1402.5,3.023894863,Swing trader,Event,
4,1,ACC,ACC,60-minute,12/13/19,12/18/19,12:00,1/2/20,12:00,4,"{""X"":""1425.80-1435.15""}",1442.85,1498.85,1424.15,2.994652406,Swing trader,Event,
12,1,Asian Paints,ASIANPAINT,Daily,10/18/19,12/24/19,9:00,1/6/20,15:00,2,"{""X"":""1823.80""}",1803.35,1714.95,1834,2.884176183,Swing trader,Event,
18,1,Bajaj Finance,BAJFINANCE,60-minute,12/27/19,12/31/19,14:00,1/6/20,11:00,4,"{""X"":""4271.50-4281.50""}",4251.85,4060.65,4291.45,4.828282828,Swing trader,Event,
27,1,Yes Bank,YESBANK,60-minute,12/10/19,1/11/20,9:00,2/4/20,9:00,7,"{""X"":""44-44.85""}",42.25,35.6,45.25,2.216666667,Swing trader,Assisted ,
13,1,Asian Paints,ASIANPAINT,60-minute,1/17/20,1/19/20,10:00,1/22/20,15:00,7,"{""X"":""1819.60-1829.35""}",1812,1767.15,1827.7,2.856687898,BTST,Event,
